Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
2010-11-11,20595,"CRUZ, Nelson",DIRCEU E MARÍLIA,PNBE,1,-,2a.,2008,-,COSACNAIFY,Lit. Infantojuvenil - biografia,T
2010-11-11,20596,"BAG, Mário",HISTÓRIAS AUMENTADAS (CONFORME SÃO CONTADAS),PNBE,1,Mito e Magia,-,2008,-,PAULINAS,Contos Infanto juvenis,T
2010-11-11,20597,"CUNHA, Leo",PERDIDO NO CIBERESPAÇO,PNBE,1,-,-,2007,-,LAROUSSE JÚNIOR,Poesia Infantojuvenil,T
2010-11-11,20598,"CALVINO, Italo",PERDE QUEM FICA ZANGADO PRIMEIRO,doação,1,-,-,2008,-,CIA DAS LETRINHAS,Lit. Infantojuvenil - sentimentos,D
2011-06-04,20599,"MAIA, Joseane",LITERATURA NA FORMAÇÃO DE LEITORES E PROFESSORES,PNBE,1,Literatura & Ensino,-,2007,-,PAULINAS,Leitura,T
2011-06-04,20600,"SOUZA, Renata Junqueira de (org.)",BIBLIOTECA ESCOLAR E PRÁTICAS EDUCATIVAS: O MEDIADOR EM FORMAÇÃO,PNBE,1,-,-,2009,-,MERCADO EM LETRAS,Leitura,T
2011-06-04,20601,"GLEISER, Marcelo","LIVRO DO CIENTISTA, O",doação,1,Profissões,-,2003,-,CIA DAS LETRINHAS,Lit. Infantojuvenil - Ciência,D
2011-07-04,20602,"AQUINO, Gilda",GRANDES CATÁSTROFES,PNBE,1,Você sabia?,-,1996,-,BRINQUE-BOOK,Lit. Infantojuvenil - Ciência,T
2011-07-04,20603,"MUTÉN, Burleigh",HISTÓRIAS DA AVÓ: contos da mulher sábia de várias culturas,PNBE,1,Tecendo histórias,-,2008,-,PAULINAS,Contos folclóricos,T
2011-07-04,20604,"GREOGRIN FILHO, José Nicolau",LITERATURA INFANTIL: múltiplas linguagens na formação de leitores,PNBE,1,-,-,2009,-,MELHORAMENTOS,Leitura,T
2011-07-04,20605,"KRAMER, Sônia","ALFABETIZAÇÃO, LEITURA E ESCRITA: formação de professores em curso",PNBE,1,Educação em Ação,-,2010,-,ÁTICA,Alfabetização,T
2011-07-04,20606,"PARREIRAS, Ninfa","CONFUSÃO DE LÍNGUAS NA LITERATURA:  o que o adulto escreve, a criança lê",PNBE,1,-,-,2009,-,RHJ,Literatura - estudo e ensino,T
2011-07-04,20607,"SEBER, Maria da Glória","ESCRITA INFANTIL: o caminho da construção, A",PNBE,1,Pensamento e ação na sala de aula,-,2009,-,SCIPIONE,Alfabetização,T
